,Title,Link,Market size,Forecasted Market Size,CAGR (%),Companies,Geographies/Region,Segments,Sub-segment 1,Sub-segment 2,Sub-segment 3,Sub-segment 4,Sub-segment 5,Sub-segment 6,Sub-segment 7,Sub-segment 8,Sub-segment 9,Sub-segment 10,Sub-segment 11,Sub-segment 12,Sub-segment 13,Sub-segment 14,Sub-segment 15,Sub-segment 16,Sub-segment 17,Sub-segment 18,Sub-segment 19,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Level 11,Level 12,Level 13,Level 14
0,"Cosmetic Antioxidants Market by Source (Natural, Chemically Derived), Type (Vitamins, Enzymes, Polyphenols), Function (Anti-aging, Hair Conditioning, UV Protection) and Application (Skin Care, Hair Care, Make-up) - Global Forecasts to 2025",https://www.marketsandmarkets.com/Market-Reports/cosmetic-antioxidant-market-144119844.html,USD 158 million,USD 119 million,5.9%,"BASF SE (Germany), Koninklijke DSM N.V. (Netherlands), Wacker Chemie AG (Germany), Eastman Chemical Company (US), Lonza Group (Switzerland), Croda International Plc (UK), Ashland Global Holdings (US), Evonik Industries AG (Germany), SEPPIC (France), BTSA Biotecnologías Aplicadas, S.L. (Spain), Kemin Industries, Inc. (US), and Barentz International BV (Netherlands). Top 25 major players covered","APAC, North America, Europe, Middle East & Africa, and South America","Source, Function, Type, Application, and Region","Natural
, Chemically Derived ","Hair Conditioning
, Anti-aging
, Anti-inflammatory
, UV Protection
, Moisturizing
, Hair Cleansing
, Others ","Vitamin
, Carotenoids
, Enzymes
, Polyphenols
, Others ","Skin Care
, Hair Care
, Make-up ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Polycarbonate Sheets Market by Type (Solid, Multiwall, Corrugated), End-use Industry (Building & Construction, Electrical & Electronics, Automotive & Transportation, Aerospace & Defense, Packaging), and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/polycarbonate-sheet-market-185536747.html,USD 1.7 billion,USD 2.2 billion,5.1%,"SABIC (Saudi Arabia), Covestro AG (Germany), Trinseo S.A. (US), Teijin Limited (Japan), Mitsubishi Gas Chemical Company, Inc. (Japan), Evonik Industries AG (Germany), Suzhou Omay Optical Materials Co., Ltd. (China), Excelite (China), Plazit-Polygal Group (Israel), Arla Plast AB (Sweden), 3A Composites GmbH (Germany), Palram Industries Ltd. (Israel), Ug-oil-Plast Ltd. (Russia), Gallina India (New Delhi), Koscon Industrial S.A. (Switzerland), Isik Plastik (Turkey), Brett Martin Ltd. (UK), and Spartech (US) ","North America, Europe, APAC, the Middle East & Africa, and South America ","Type, End-use Industry ","Solid
, Multiwall
, Corrugated
, Others ","Building & Construction
, Electrical & Electronics
, Automotive & Transportation
, Aerospace & Defense
, Packaging
, Others ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"n-Butanol Market by Application (Butyl Acrylate, Butyl Acetate, Glycol Ethers, Direct Solvents, Plasticizers), and Region (APAC, North America, Europe, Middle East & Africa, South America) - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/n-butanol-market-1089.html,USD 3.1 billion,USD 4.0 billion,5.0%,"Total of 10 major players covered:BASF (Germany), The DOW Chemical Company (US), Eastman (US), OQ Chemicals (Germany), SASOL (South Africa), BASF PETRONAS (Malaysia), PetroChina (China), Mitsubishi Chemical Company (Japan), SINOPEC (China), and KH Neochem (Japan). ","APAC, Europe, North America, South America, and Middle East & Africa.","Application, and Region ","Butyl Acrylate
, Butyl Acetate
, Glycol Ethers
, Direct Solvent
, Plasticizers
, Others ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Graphene Market by Type (Bulk, Monolayer), Application (Composites, Paints, Energy Storage, Electronics, Catalyst and Tire) , End-use Industry (Automotive, Aerospace, Electronics, Military and Construction) and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/graphene-market-83933068.html,USD 620 million,"USD 1,479 million",None,"NanoXplore Inc. (US), Graphenea SA (Spain), Avanzare Innovacion Tecnologica S.L. (Spain), Global Graphene Group (US), Directa Plus S.p.A. (Italy), Haydale Graphene Industries Plc (Italy), Changzhou Sixth Element Materials Technology Co., Ltd. (China), and Ningbo Morsh Technology Co., Ltd. (China), Nanjing XFNANO Materials Co., Ltd., Xiamen Knano Graphene Technology Corporation Limited (China), and JCNANO Tech Co., Ltd. (China) ","Europe, North America, APAC, MEA, and Latin America","Type, Application, End-use Industry and Region","Bulk Graphene
, Monolayer Graphene ","Composites
, Paints, Coatings, and Inks
, Energy Storage & Harvesting
, Electronics
, Catalyst
, Tires
, Others ","Automotive & Transportation
, Aerospace
, Electronics
, Military & Defense
, Others ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Ethylene Carbonate Market by Application(Lubricants, Lithium Battery Electrolytes, Plasticizers, Surface Coatings), End-Use Industry (Automotive, Oil & Gas, Industrial, Medical, Personal Care & Hygiene), and Region - Global Forecast to 2026",https://www.marketsandmarkets.com/Market-Reports/ethylene-carbonate-market-229766138.html,USD 290 million,USD 389 million,6.1%,"Oriental Union Chemical Corporation (Taiwan), Huntsman (US), BASF (Germany), Mitsubishi Chemical (Japan), Toagosei Co., Ltd. (Japan), Asahi Kasei (Japan), New Japan Chemical Co. Ltd (Japan), Shandong Shida Shenghua Chemical Group (China), Zibo Donghai Industries Co. Ltd. (China), Shandong Senjie Cleantech Co. Ltd (China), Otto Chemie Pvt Ltd (India), Tokyo Chemical Industry Co. Ltd (Japan), Panax Etec (South Korea), Alchem Chemical Company (US), RX Marine International (India), Vizag Chemical International (India), Empower Materials (US), Liaoning Oxiranchem Inc. (China) Zhengzhou Meiya Chemical Products Co., Ltd. (China), Shandong Lixing Chemicals Co. Ltd. (China), Parsol Chemicals Pvt. Ltd. (India), Fujifilm Wako Pure Chemical Corporation (Japan), Taixing Taida Fine Chemical Co. Ltd (China), and Alfa Aesar (Germany)  ","North America, APAC, Europe, South America, and Middle East & Africa","Form, Application, End-Use Industry, and Region ","Solid
, Liquid ","Lithium Battery Electrolytes
, Lubricants
, Plasticizers
, Surface Coatings
, Others(capacitor electrolytes, resist strip solvents, fiber processing agents, soil hardening agents, organic solvents, and pharmaceutical) ","Automotive
, Industrial
, Medical
, Oil & Gas
, Personal Care & Hygiene
, Others (electronics, textile, and energy) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Prepreg Market by Type of Reinforcement (Carbon Fiber Prepreg, Glass Fiber Prepreg), Resin Type (Thermoset Prepreg, and Thermoplastic Prepreg), Form, Manufacturing Process (Hot-melt, Solvent Dip), Application, Region - Global Forecast to 2025 ",https://www.marketsandmarkets.com/Market-Reports/prepreg-market-56131284.html,USD 6.2 billion,USD 10.2 billion,10.5%,"Solvay Group (Belgium), Hexcel Corporation (United States), Toray Industries, Inc. (Japan), Teijin Limited (Japan) and Mitsubishi Chemical Holdings Corporation (Japan), are some of the key players in the prepreg market. SGL Group (Germany), Axiom Materials (United States), Gurit Holding AG (Switzerland), Park Aerospace Corp. (United States) and Plastic Reinforcement Fabrics Ltd. (United Kingdom) ","Europe, North America, APAC, MEA, and Latin America","Type of Fiber Reinforcement, Resin type, Form, Manufacturing Process, Application and Region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Cellulosic Fire Protection Intumescent Coatings Market by Type (Solvent-borne, Water-borne), End-Use (Residential, Commercial), and Region (North America, Europe, APAC, South America, MEA) - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/cellulosic-fire-protection-european-building-construction-steelwork-intumescent-coating-market-235529408.html,USD 494 million,USD 584 million,3.4%,"AkzoNobel (Netherlands), The Sherwin-Williams Company (US), PPG Industries (US), Jotun (Norway), Hempel (Denmark), and RPM International Inc. (US), are the top 6 manufacturers are covered in the cellulosic fire protection intumescent coatings market.","North America, Asia Pacific, Europe, South America, and Middle East & Africa",NA,"Solvent-borne
, Water-borne ","Residential
, Commercial ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Proppants Market by Type(Frac Sand, Resin-Coated Proppant, Ceramic Proppant), Application (Shale Gas, Tight Gas, Coalbedmethane & Others) and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/proppant-market-802.html,USD 7.8 billion,USD 12.1 billion,9.1%,"The major players are, Carbo Ceramics Inc. (US), COVIA (US), JSC Borovichi Refractories Plant (Russia), U.S. Silica Holdings Inc. (US), Hi-Crush Inc. (US), Mineração Curimbaba (Brazil), Emerge Energy Services LP (US), Xinmi Wanli Industry Development Co., Ltd. (China), Atlas Sand Company, Llc (US), HEXION (US) and 15 other players. ","APAC, North America, Europe, Middle East & North Africa and Rest of the World ","Type, Application, Ceramic Proppants, and Region ","Frac Sand
, Resin-Coated Proppants
, Ceramic Proppants ","Shale Gas
, Tight Gas
, Coalbed Methane
, Others (tight oil, deep gas and subsea hydrates) ","High Strength Ceramic Proppants
, Intermediate Strength Ceramic Proppants
, Light Weight Ceramic Proppants
, Others (ultra-light weight proppants, ultra-strength proppants, and ultra-conductive proppants) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Welding Materials Market by Type (Electrodes & Filler Materials, Fluxes & Wires, Gases), Technology (Arc, Resistance, Oxy-Fuel Welding), End-use Industry (Transportation, Building & Construction, Heavy Industries), & Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/welding-material-market-165950809.html,USD 13.6 billion,USD 17.3 billion,4.8%,"Colfax Corporation (US), Air Liquide S.A. (Framce), Air Products & Chemicals (US), Illinois Tool Works (US), Linde PLC (UK), Lincoln Electric Holdings (US), Tianjin Bridge Welding Materials Group (China), and Kobe Steel (Japan). Total 25 market players are covered in the report.","North America, Asia Pacific, Europe, Middle East & Africa, and South America","Type, Technology, End-Use Industry, and Region ","Electrodes & Filler Materials
, Fluxes & Wires
, Gases ","Arc Welding
, Resistance Welding
, Oxy-Fuel Welding
, Others ","Transportation
, Building & Construction
, Heavy Industries
, Others ","North America
, Europe
, Asia Pacific
, Middle East & Africa
, South America ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Metering Pumps Market by Type (Diaphragm, Piston/Plunger), End-Use Industry (Water Treatment, Petrochemicals, Oil & Gas, Chemical Processing, Pharmaceuticals, Food & Beverages, Textile, Automotive, Pulp & Paper), and Region- Global Forecast to 2026 ",https://www.marketsandmarkets.com/Market-Reports/metering-pump-market-949.html,USD 6.1 billion,USD 7.9 billion,4.4%,"IDEX Corporation (US), LEWA (Germany), Ingersoll Rand (US), Dover Corporation (US), ProMinent (Germany), Grundfos (Denmark), SEKO (Italy), and Watson-Marlow Fluid Technology Group (UK) are the top 8 manufacturers are covered in the metering pumps market.","North America, Asia Pacific, Europe, South America, and Middle East & Africa","Type, End-Use industry, and Region ","Diaphragm Pumps
, Piston/Plunger Pumps
, Others (Peristaltic and Syringe) ","Water Treatment
, Petrochemicals, & Oil & Gas
, Chemical Processing
, Pharmaceuticals
, Food & Beverages
, Pulp & Paper
, Automotive
, Textile
, Others (Mining, Agriculture, Construction) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
